#1|lemma	meta|date	meta|lang_area	count
Hüttlein	1482	obd	1
Öhrlein	1673	NA	1
Öhrlein	1662	obd	1
Waldhähnchen	1870	NA	1
Brettlein	1603	md	1
Mützlein	1675	NA	1
Gewürznäglein	1735	NA	1
Seidentüchlein	1532	md	1
Seidentüchlein	1487	obd	1
Kamillenkräutlein	1609	obd	1
Stengelein	1543	md	1
Stengelein	1557	md	1
Härchen	1532	md	1
Härchen	1769	NA	1
Härchen	1874	NA	1
Rütlein	1662	obd	1
Käslein	1543	md	1
Eichenfässlein	1603	md	1
Samanderlein	1828	NA	1
Zuckerwürzlein	1687	obd	1
Därmlein	1588	obd	1
Erbsenbrühlein	1487	obd	1
Wörtlein	1539	md	1
Wörtlein	1550	NA	1
Wörtlein	1563	md	1
Stöcklein	1588	NA	1
Stöcklein	1687	obd	1
Rohrbüschen	1550	NA	1
Rohrbüschen	1652	md	1
Knöchlein	1673	NA	1
Auswaschen	1914	NA	1
Auswaschen	1609	obd	1
Ehrenpreismännlein	1662	obd	1
Schötelein	1588	obd	1
Spreublättchen	1887	NA	1
Püplein	1719	NA	1
Desgleichen	1543	md	1
Steinchen	1675	NA	1
